subset,file,split,label,n_cycles,n_cycles_after,repro_denom,repro_both,branch_repo,label_gt_ncycles,cycle_number_at_label,soh_at_label_repo,soh_before_repo,max_soh_after_repo,n_above_after_repo,first_crossing_repo,last_crossing_repo,soh_at_label_dis1,soh_before_dis1,max_soh_after_dis1,n_above_after_dis1,first_crossing_dis1,last_crossing_dis1,soh_at_label,soh_before,max_soh_after,n_above_after,last_crossing,first_crossing
CALCE,CALCE_CS2_35.pkl,train,518,780,262,repo,False,first_cross,False,518.0,0.79664,0.80634,0.80477,20.0,518.0,550.0,0.78873,0.79834,0.79678,0.0,503.0,510.0,0.79664,0.80634,0.80477,20.0,550.0,518.0
CALCE,CALCE_CS2_36.pkl,train,487,832,345,repo,False,first_cross,False,487.0,0.79435,0.80499,0.79926,0.0,487.0,487.0,0.77673,0.78714,0.78153,0.0,485.0,485.0,0.79435,0.80499,0.79926,0.0,487.0,487.0
CALCE,CALCE_CS2_37.pkl,train,538,905,367,repo,False,first_cross,False,538.0,0.79662,0.80731,0.80316,2.0,538.0,544.0,0.78973,0.80033,0.79622,0.0,533.0,538.0,0.79662,0.80731,0.80316,2.0,544.0,538.0
CALCE,CALCE_CS2_38.pkl,train,568,903,335,repo,False,first_cross,False,568.0,0.79564,0.80052,0.80311,1.0,568.0,574.0,0.78555,0.79037,0.79293,0.0,530.0,567.0,0.79564,0.80052,0.80311,1.0,574.0,568.0
CALCE,CALCE_CS2_34.pkl,train,448,632,184,repo,False,first_cross,False,448.0,0.79936,0.80096,0.79686,0.0,448.0,448.0,0.76946,0.77099,0.76705,0.0,411.0,420.0,0.79936,0.80096,0.79686,0.0,448.0,448.0
CALCE,CALCE_CS2_33.pkl,train,473,660,187,repo,False,first_cross,False,473.0,0.79765,0.81297,0.79482,0.0,473.0,473.0,0.76244,0.77708,0.75973,0.0,448.0,448.0,0.79765,0.81297,0.79482,0.0,473.0,473.0
CALCE,CALCE_CX2_37.pkl,train,579,1072,493,repo,False,first_cross,False,579.0,0.8,0.80149,0.81683,44.0,579.0,626.0,0.80036,0.80185,0.8172,45.0,581.0,626.0,0.8,0.80149,0.81683,44.0,626.0,579.0
CALCE,CALCE_CX2_34.pkl,val,534,1363,829,repo,False,first_cross,False,534.0,0.799,0.80137,0.8045,12.0,534.0,550.0,0.80863,0.81103,0.8142,32.0,567.0,567.0,0.799,0.80137,0.8045,12.0,550.0,534.0
CALCE,CALCE_CX2_38.pkl,test,590,1579,989,repo,False,first_cross,False,590.0,0.79836,0.80109,0.81517,48.0,590.0,642.0,0.7966,0.79931,0.81336,44.0,583.0,642.0,0.79836,0.80109,0.81517,48.0,642.0,590.0
CALCE,CALCE_CX2_36.pkl,train,519,1568,1049,repo,False,first_cross,False,519.0,0.79851,0.81073,0.81143,39.0,519.0,602.0,0.80029,0.81254,0.81324,46.0,520.0,607.0,0.79851,0.81073,0.81143,39.0,602.0,519.0
CALCE,CALCE_CX2_33.pkl,train,534,1271,737,repo,False,first_cross,False,534.0,0.79956,0.80257,0.80045,1.0,534.0,538.0,0.83543,0.83858,0.83636,199.0,655.0,939.0,0.79956,0.80257,0.80045,1.0,538.0,534.0
CALCE,CALCE_CX2_35.pkl,val,739,1454,715,repo,False,first_cross,False,739.0,0.79961,0.80173,0.81353,32.0,739.0,823.0,0.79692,0.79903,0.8108,19.0,738.0,817.0,0.79961,0.80173,0.81353,32.0,823.0,739.0
CALCE,CALCE_CX2_16.pkl,test,828,1279,451,repo,False,first_cross,False,829.0,0.7996,0.80988,0.79936,0.0,828.0,828.0,0.85033,0.86127,0.85007,117.0,941.0,1178.0,0.7996,0.80988,0.79936,0.0,828.0,828.0
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n.pkl,val,246,1082,836,repo,False,first_cross,False,246.0,0.79536,0.80679,0.80286,6.0,246.0,253.0,0.84133,0.85342,0.84926,101.0,348.0,348.0,0.79536,0.80679,0.80286,6.0,253.0,246.0
