subset,file,split,repro_denom,repro_both,label,n_cycles,n_cycles_after,soh_before,soh_at_label,drop1,max_soh_after,n_above_after,first_crossing,last_crossing,last_minus_label,ratio,kind
ISU_ILCC,ISU-ILCC_G40C3.pkl,train,dis1,False,16,8957,8941,0.82842,0.55219,0.2762300000000001,1.69956,4423.0,16.0,5402.0,5386.0,337.625,일시적 교차
ISU_ILCC,ISU-ILCC_G57C4.pkl,val,repo,True,1882,13784,11902,0.95538,0.6911,0.2642799999999999,1.03222,3141.0,1882.0,6097.0,4215.0,3.24,일시적 교차
ISU_ILCC,ISU-ILCC_G57C2.pkl,train,repo,True,2755,13984,11229,0.8858,0.74574,0.14006,0.96343,2576.0,2755.0,6906.0,4151.0,2.507,일시적 교차
ISU_ILCC,ISU-ILCC_G57C1.pkl,val,repo,True,3936,12620,8684,0.83263,0.77594,0.05669,0.91256,1243.0,3936.0,6710.0,2774.0,1.705,일시적 교차
ISU_ILCC,ISU-ILCC_G1C3.pkl,train,dis1,False,3211,11482,8271,0.80043,0.79464,0.0057899999999999,0.93705,1625.0,3211.0,5496.0,2285.0,1.712,일시적 교차
ISU_ILCC,ISU-ILCC_G1C2.pkl,test,repo,True,3204,11400,8196,0.80586,0.79637,0.0094899999999999,0.936,1562.0,3204.0,5390.0,2186.0,1.682,일시적 교차
ISU_ILCC,ISU-ILCC_G59C3.pkl,val,repo,True,1371,13336,11965,0.94892,0.79353,0.15539,0.99859,1532.0,1371.0,3317.0,1946.0,2.419,일시적 교차
ISU_ILCC,ISU-ILCC_G43C3.pkl,test,repo,True,993,16463,15470,0.98394,0.0,0.98394,0.989,1452.0,993.0,2861.0,1868.0,2.881,일시적 교차
ISU_ILCC,ISU-ILCC_G1C1.pkl,train,repo,True,3323,10553,7230,0.90358,0.79657,0.10701,0.95787,1045.0,3323.0,4990.0,1667.0,1.502,일시적 교차
ISU_ILCC,ISU-ILCC_G49C2.pkl,val,repo,True,2036,12010,9974,0.84872,0.64023,0.20849,0.87809,761.0,2036.0,3619.0,1583.0,1.778,일시적 교차
ISU_ILCC,ISU-ILCC_G34C2.pkl,train,dis1,False,3109,16644,13535,0.848,0.58975,0.25825,0.87777,783.0,3109.0,4376.0,1267.0,1.408,일시적 교차
ISU_ILCC,ISU-ILCC_G50C3.pkl,train,repo,True,3343,21210,17867,0.83791,0.59337,0.2445400000000001,0.878,462.0,3343.0,4352.0,1009.0,1.302,일시적 교차
ISU_ILCC,ISU-ILCC_G50C4.pkl,train,repo,True,3151,19112,15961,0.85707,0.48672,0.37035,0.88998,435.0,3151.0,4116.0,965.0,1.306,일시적 교차
ISU_ILCC,ISU-ILCC_G49C3.pkl,train,dis1,False,4283,13673,9390,0.80286,0.79947,0.00339,0.89857,248.0,4283.0,5226.0,943.0,1.22,일시적 교차
ISU_ILCC,ISU-ILCC_G57C3.pkl,train,dis1,False,4999,12989,7990,0.80359,0.7984,0.00519,0.8619,98.0,4999.0,5906.0,907.0,1.181,일시적 교차
ISU_ILCC,ISU-ILCC_G18C1.pkl,train,repo,True,3285,14274,10989,0.81774,0.78421,0.03353,0.8539,348.0,3285.0,4126.0,841.0,1.256,일시적 교차
ISU_ILCC,ISU-ILCC_G34C1.pkl,train,repo,True,2593,13881,11288,0.85916,0.73262,0.1265399999999999,0.89084,410.0,2593.0,3414.0,821.0,1.317,일시적 교차
ISU_ILCC,ISU-ILCC_G59C2.pkl,val,dis1,False,2842,15040,12198,0.83984,0.7909,0.0489399999999999,0.93288,439.0,2842.0,3649.0,807.0,1.284,일시적 교차
ISU_ILCC,ISU-ILCC_G6C3.pkl,test,repo,True,3791,16313,12522,0.81502,0.74631,0.0687099999999999,0.87127,311.0,3791.0,4542.0,751.0,1.198,일시적 교차
ISU_ILCC,ISU-ILCC_G6C2.pkl,train,dis1,False,4109,11885,7776,0.80412,0.7987,0.0054199999999999,0.83763,123.0,4109.0,4839.0,730.0,1.178,일시적 교차
ISU_ILCC,ISU-ILCC_G59C1.pkl,train,dis1,False,3084,14109,11025,0.8059,0.79888,0.0070199999999999,0.85601,71.0,3084.0,3756.0,672.0,1.218,일시적 교차
ISU_ILCC,ISU-ILCC_G18C3.pkl,train,dis1,False,1701,4050,2349,0.81057,0.79783,0.0127399999999999,0.89606,607.0,1701.0,2353.0,652.0,1.383,일시적 교차
ISU_ILCC,ISU-ILCC_G18C2.pkl,val,dis1,False,1737,4062,2325,0.80116,0.79275,0.00841,0.89381,597.0,1737.0,2357.0,620.0,1.357,일시적 교차
ISU_ILCC,ISU-ILCC_G49C4.pkl,train,dis1,False,3713,10471,6758,0.80087,0.79981,0.0010599999999999,0.86864,55.0,3713.0,4319.0,606.0,1.163,일시적 교차
ISU_ILCC,ISU-ILCC_G50C1.pkl,train,repo,True,3157,19073,15916,0.81907,0.62002,0.1990499999999999,0.85209,224.0,3157.0,3757.0,600.0,1.19,일시적 교차
ISU_ILCC,ISU-ILCC_G54C1.pkl,val,repo,True,3139,11093,7954,0.80556,0.79629,0.00927,0.89909,67.0,3139.0,3697.0,558.0,1.178,일시적 교차
ISU_ILCC,ISU-ILCC_G54C2.pkl,val,dis1,False,3323,11825,8502,0.80587,0.7996,0.0062699999999999,0.91039,80.0,3323.0,3863.0,540.0,1.163,일시적 교차
ISU_ILCC,ISU-ILCC_G54C3.pkl,test,dis1,False,3107,10357,7250,0.8056,0.79993,0.0056699999999999,0.89984,92.0,3107.0,3635.0,528.0,1.17,일시적 교차
ISU_ILCC,ISU-ILCC_G59C4.pkl,test,dis1,False,2512,20684,18172,0.80159,0.79903,0.00256,0.84851,33.0,2512.0,3030.0,518.0,1.206,일시적 교차
ISU_ILCC,ISU-ILCC_G18C4.pkl,train,dis1,False,1597,3632,2035,0.80222,0.7994,0.00282,0.84291,196.0,1597.0,2111.0,514.0,1.322,일시적 교차
ISU_ILCC,ISU-ILCC_G32C1.pkl,val,repo,True,1608,8273,6665,0.85753,0.71064,0.1468899999999999,0.87829,422.0,1608.0,2119.0,511.0,1.318,일시적 교차
ISU_ILCC,ISU-ILCC_G12C4.pkl,train,dis1,False,2169,4920,2751,0.80663,0.79861,0.0080199999999999,0.84234,102.0,2169.0,2655.0,486.0,1.224,일시적 교차
ISU_ILCC,ISU-ILCC_G44C4.pkl,train,repo,True,1443,7304,5861,0.85612,0.69351,0.16261,0.86943,297.0,1443.0,1905.0,462.0,1.32,일시적 교차
ISU_ILCC,ISU-ILCC_G4C2.pkl,train,dis1,False,1500,2794,1294,0.80433,0.79873,0.0055999999999999,0.82923,69.0,1500.0,1962.0,462.0,1.308,일시적 교차
ISU_ILCC,ISU-ILCC_G4C3.pkl,train,repo,True,1567,3024,1457,0.81269,0.79311,0.01958,0.82405,89.0,1567.0,2023.0,456.0,1.291,일시적 교차
ISU_ILCC,ISU-ILCC_G32C4.pkl,train,dis1,False,1569,5794,4225,0.80062,0.79962,0.001,0.85122,115.0,1569.0,2015.0,446.0,1.284,일시적 교차
ISU_ILCC,ISU-ILCC_G40C2.pkl,train,dis1,False,2739,9335,6596,0.80252,0.79933,0.00319,0.88064,174.0,2739.0,3157.0,418.0,1.153,일시적 교차
ISU_ILCC,ISU-ILCC_G6C1.pkl,val,dis1,False,3455,6223,2768,0.80094,0.7994,0.0015399999999999,0.87008,196.0,3455.0,3834.0,379.0,1.11,일시적 교차
ISU_ILCC,ISU-ILCC_G2C3.pkl,test,dis1,False,957,2546,1589,0.80178,0.79991,0.00187,0.83189,155.0,957.0,1282.0,325.0,1.34,일시적 교차
ISU_ILCC,ISU-ILCC_G32C3.pkl,train,repo,True,1593,7329,5736,0.83324,0.71752,0.1157199999999999,0.8549,186.0,1593.0,1914.0,321.0,1.202,일시적 교차
