file,nominal_capacity_in_Ah,soc_lo,soc_hi,soc_width,n_cycles,chg_rate_C,dis_rate_C,max_v,min_v,form
NA-ion_270040-1-1-64.pkl,1.0,0,1,1,91,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-2-63.pkl,1.0,0,1,1,235,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-3-62.pkl,1.0,0,1,1,175,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-4-61.pkl,1.0,0,1,1,232,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-5-60.pkl,1.0,0,1,1,236,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-6-59.pkl,1.0,0,1,1,240,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-7-58.pkl,1.0,0,1,1,223,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-1-8-57.pkl,1.0,0,1,1,240,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-1-12.pkl,1.0,0,1,1,121,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-2-12.pkl,1.0,0,1,1,128,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-3-12.pkl,1.0,0,1,1,121,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-4-12.pkl,1.0,0,1,1,134,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-5-12.pkl,1.0,0,1,1,129,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-6-12.pkl,1.0,0,1,1,134,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-7-12.pkl,1.0,0,1,1,132,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-2-8-12.pkl,1.0,0,1,1,120,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-1-56.pkl,1.0,0,1,1,205,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-2-55.pkl,1.0,0,1,1,215,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-3-54.pkl,1.0,0,1,1,233,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-4-53.pkl,1.0,0,1,1,225,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-5-52.pkl,1.0,0,1,1,251,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-6-51.pkl,1.0,0,1,1,246,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-7-50.pkl,1.0,0,1,1,184,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-3-8-49.pkl,1.0,0,1,1,251,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-1-48.pkl,1.0,0,1,1,249,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-2-47.pkl,1.0,0,1,1,202,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-3-46.pkl,1.0,0,1,1,243,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-4-45.pkl,1.0,0,1,1,234,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-5-44.pkl,1.0,0,1,1,244,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-6-43.pkl,1.0,0,1,1,194,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-7-42.pkl,1.0,0,1,1,237,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-4-8-41.pkl,1.0,0,1,1,100,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-1-39.pkl,1.0,0,1,1,225,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-2-38.pkl,1.0,0,1,1,226,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-3-37.pkl,1.0,0,1,1,211,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-4-36.pkl,1.0,0,1,1,108,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-5-35.pkl,1.0,0,1,1,244,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-6-34.pkl,1.0,0,1,1,223,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-7-33.pkl,1.0,0,1,1,212,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-5-8-32.pkl,1.0,0,1,1,200,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-1-31.pkl,1.0,0,1,1,244,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-2-30.pkl,1.0,0,1,1,171,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-3-29.pkl,1.0,0,1,1,239,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-4-28.pkl,1.0,0,1,1,238,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-5-27.pkl,1.0,0,1,1,101,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-6-26.pkl,1.0,0,1,1,241,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-7-25.pkl,1.0,0,1,1,239,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-6-8-24.pkl,1.0,0,1,1,235,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-7-1-23.pkl,1.0,0,1,1,248,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-7-2-22.pkl,1.0,0,1,1,179,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-7-3-21.pkl,1.0,0,1,1,242,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-1-20.pkl,1.0,0,1,1,239,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-2-19.pkl,1.0,0,1,1,239,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-3-18.pkl,1.0,0,1,1,97,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-4-17.pkl,1.0,0,1,1,237,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-5-16.pkl,1.0,0,1,1,128,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-6-15.pkl,1.0,0,1,1,236,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-7-14.pkl,1.0,0,1,1,234,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_270040-8-8-13.pkl,1.0,0,1,1,239,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_2850-30_20250117105706_DefaultGroup_45_2.pkl,1.0,0,1,1,170,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_4000-30_20250115110206_DefaultGroup_45_1.pkl,1.0,0,1,1,119,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_4500-30_20250114232539_DefaultGroup_45_8.pkl,1.0,0,1,1,164,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_5000-25_20250115110326_DefaultGroup_38_1.pkl,1.0,0,1,1,135,2.5,2.5,4.0,2.0,cylindrical_18650
NA-ion_5000-25_20250115110326_DefaultGroup_38_2.pkl,1.0,0,1,1,137,2.5,2.5,4.0,2.0,cylindrical_18650
