file,n_cycles,readme_C,readme_T,I_dis_meas,I_chg_meas,Crate_from_I,qd1,soh1_repo,dis_int1,Crate_vs_measQ,last_soh,min_soh,label,in_split,family
NA-ion_270040-1-1-64.pkl,91,2.0,25,2.0,2.0,2.0,0.7902,0.7902,0.7906,2.53,0.7688,0.7688,,-,batch2_csv
NA-ion_270040-1-2-63.pkl,235,5.0,25,5.5,5.501,5.5,0.8965,0.8965,0.8968,6.14,0.7519,0.7519,177.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-1-3-62.pkl,175,4.2,25,4.2,4.2,4.2,0.8807,0.8807,0.8809,4.77,0.8249,0.8249,268.0,"NAion_2021:test,NAion_42:test,NAion_2024:test",batch2_csv
NA-ion_270040-1-4-61.pkl,232,5.8,25,5.8,5.801,5.8,0.9066,0.9066,0.9071,6.4,0.8686,0.8686,,-,batch2_csv
NA-ion_270040-1-5-60.pkl,236,5.0,25,5.5,5.5,5.5,0.8933,0.8933,0.8922,6.16,0.753,0.753,165.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-1-6-59.pkl,240,5.7,25,5.7,5.7,5.7,0.9044,0.9044,0.9057,6.3,0.7622,0.7622,201.0,"NAion_2021:val,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-1-7-58.pkl,223,5.3,25,5.3,5.3,5.3,0.8915,0.8915,0.8922,5.95,0.7952,0.7952,214.0,"NAion_2021:train,NAion_42:test,NAion_2024:train",batch2_csv
NA-ion_270040-1-8-57.pkl,240,5.8,25,5.8,5.801,5.8,0.905,0.905,0.9039,6.41,0.8211,0.8211,307.0,"NAion_2021:train,NAion_42:val,NAion_2024:train",batch2_csv
NA-ion_270040-2-1-12.pkl,121,3.0,25,3.0,3.0,3.0,0.9095,0.9095,0.9092,3.3,0.8595,0.8595,,-,batch2_csv
NA-ion_270040-2-2-12.pkl,128,3.0,25,3.0,3.0,3.0,0.8609,0.8609,0.8608,3.48,0.8111,0.8111,158.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-2-3-12.pkl,121,3.0,25,3.0,3.0,3.0,0.9008,0.9008,0.9,3.33,0.8748,0.8748,,-,batch2_csv
NA-ion_270040-2-4-12.pkl,134,3.0,25,3.0,3.0,3.0,0.8365,0.8365,0.8367,3.59,0.7587,0.7587,,-,batch2_csv
NA-ion_270040-2-5-12.pkl,129,3.0,25,3.0,3.0,3.0,0.8627,0.8627,0.8625,3.48,0.7917,0.7917,117.0,"NAion_2021:train,NAion_42:test,NAion_2024:train",batch2_csv
NA-ion_270040-2-6-12.pkl,134,3.0,25,3.0,3.0,3.0,0.8423,0.8423,0.8425,3.56,0.7646,0.7646,,-,batch2_csv
NA-ion_270040-2-7-12.pkl,132,3.0,25,3.0,3.0,3.0,0.8388,0.8388,0.8392,3.58,0.7841,0.7841,,-,batch2_csv
NA-ion_270040-2-8-12.pkl,120,3.0,25,3.0,3.0,3.0,0.8983,0.8983,0.8983,3.34,0.883,0.883,,-,batch2_csv
NA-ion_270040-3-1-56.pkl,205,4.7,25,4.7,4.7,4.7,0.8813,0.8813,0.8813,5.33,0.7408,0.7408,128.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",batch2_csv
NA-ion_270040-3-2-55.pkl,215,5.1,25,5.1,5.1,5.1,0.8904,0.8904,0.8897,5.73,0.7878,0.7878,200.0,"NAion_2021:val,NAion_42:train,NAion_2024:val",batch2_csv
NA-ion_270040-3-3-54.pkl,233,5.3,25,5.301,5.3,5.3,0.8875,0.8875,0.8878,5.97,0.7105,0.7105,132.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-3-4-53.pkl,225,5.3,25,5.3,5.3,5.3,0.8906,0.8906,0.8907,5.95,0.7815,0.7815,184.0,"NAion_2021:val,NAion_42:train,NAion_2024:test",batch2_csv
NA-ion_270040-3-5-52.pkl,251,6.0,25,6.0,6.001,6.0,0.9075,0.9075,0.9067,6.61,0.7895,0.7895,231.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-3-6-51.pkl,246,6.0,25,6.0,6.0,6.0,0.9067,0.9067,0.905,6.62,0.8333,0.8333,,-,batch2_csv
NA-ion_270040-3-7-50.pkl,184,4.2,25,4.2,4.2,4.2,0.8694,0.8694,0.8692,4.83,0.7523,0.7523,108.0,"NAion_2021:test,NAion_42:test,NAion_2024:test",batch2_csv
NA-ion_270040-3-8-49.pkl,251,6.0,25,6.0,6.001,6.0,0.8944,0.8944,0.8934,6.71,0.7997,0.7997,251.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-4-1-48.pkl,249,6.0,25,6.001,6.001,6.0,0.9179,0.9179,0.9184,6.54,0.791,0.791,235.0,"NAion_2021:test,NAion_42:train,NAion_2024:val",batch2_csv
NA-ion_270040-4-2-47.pkl,202,4.8,25,4.801,4.801,4.8,0.8875,0.8875,0.8867,5.41,0.7959,0.7959,196.0,"NAion_2021:val,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-4-3-46.pkl,243,5.8,25,5.801,5.801,5.8,0.903,0.903,0.9007,6.42,0.7926,0.7926,227.0,"NAion_2021:test,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-4-4-45.pkl,234,5.7,25,5.701,5.701,5.7,0.8915,0.8915,0.8915,6.39,0.8437,0.8437,,-,batch2_csv
NA-ion_270040-4-5-44.pkl,244,6.0,25,6.0,6.001,6.0,0.9197,0.9197,0.92,6.52,0.829,0.829,,-,batch2_csv
NA-ion_270040-4-6-43.pkl,194,4.5,25,4.501,4.501,4.5,0.8779,0.8779,0.8776,5.13,0.7762,0.7762,142.0,"NAion_2021:val,NAion_42:train,NAion_2024:train",batch2_csv
NA-ion_270040-4-7-42.pkl,237,6.0,25,6.001,6.001,6.0,0.9209,0.9209,0.9217,6.52,0.876,0.876,,-,batch2_csv
NA-ion_270040-4-8-41.pkl,100,2.0,25,2.0,2.0,2.0,0.708,0.708,0.7074,2.83,0.704,0.704,,-,batch2_csv
NA-ion_270040-5-1-39.pkl,225,5.1,25,5.101,5.101,5.1,0.8861,0.8861,0.8841,5.76,0.7037,0.7037,128.0,"NAion_2021:train,NAion_42:train,NAion_2024:test",batch2_csv
NA-ion_270040-5-2-38.pkl,226,5.1,25,5.101,5.101,5.1,0.8879,0.8879,0.8869,5.74,0.7102,0.7102,120.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",batch2_csv
