subset,file,cycle_number,n_points,dis_ah_max,chg_ah_max,dis_points,dis_duration,v_end_dis,v_min,v_max,i_min,i_max,dis_int_ah,chg_int_ah,n_dis_seg,n_chg_seg,qd_min_diff_in_dis,chg_points,soh_repo,soh_dis1
NA_ion,NA-ion_270040-1-1-64.pkl,1,2810,0.7902409,0.7671222,1424,1423.0,1.9997,1.9997,4.0,-2.0003107,2.0003343,0.7906297493194444,0.7667332820277779,1,1,0.0001667,1382,0.7902409,1.0
NA_ion,NA-ion_270040-1-1-64.pkl,2,2863,0.7921258,0.7957971,1427,1426.0,1.9996,1.9996,4.0001,-2.0003026,2.0003421,0.7922924194861111,0.7956303955694445,1,1,0.0003889,1434,0.7921258,1.0023852220253342
NA_ion,NA-ion_270040-1-1-64.pkl,3,2861,0.7921813,0.7945724,1427,1425.0,1.9999,1.9999,4.0001,-2.0003023,2.0003219,0.791736755861111,0.7945167558055555,1,1,0.0004444999999999,1432,0.7921813,1.002455453773653
NA_ion,NA-ion_270040-1-1-64.pkl,4,2859,0.7919539,0.7939548,1427,1426.0,1.9999,1.9999,4.0001,-2.0002849,2.000298,0.7922871716250001,0.79339924525,1,2,0.0002223,1430,0.7919539,1.0021676934210821
NA_ion,NA-ion_270040-1-1-64.pkl,5,2857,0.7916747,0.7933978,1426,1425.0,1.9998,1.9998,4.0001,-2.0002811,2.0002975,0.7917301827361111,0.793397816638889,1,1,0.0005001,1429,0.7916747,1.0018143834367468
NA_ion,NA-ion_270040-1-1-64.pkl,6,2857,0.7913948,0.7930062,1426,1424.0,1.9998,1.9998,4.0001,-2.0002863,2.0002751,0.7911725139861111,0.792839430986111,1,1,0.0002221999999999,1429,0.7913948,1.001460187646577
NA_ion,NA-ion_270040-1-1-64.pkl,7,2855,0.7911173,0.7925603,1425,1424.0,1.9996,1.9996,4.0,-2.0002735,2.0002568,0.7906172949722222,0.7928380194583332,2,1,0.0,1428,0.7911173,1.0011090289049833
NA_ion,NA-ion_270040-1-1-64.pkl,8,2854,0.7907844,0.7922289,1425,1423.0,2.0,2.0,4.0001,-2.0002794,2.0002699,0.7906176776666666,0.7922844744166667,1,1,0.0001667,1427,0.7907844,1.0006877649587613
NA_ion,NA-ion_270040-1-1-64.pkl,9,2853,0.7905074,0.791783,1424,1423.0,1.9998,1.9998,4.0001,-2.0002642,2.0002751,0.7906185444444445,0.7917274126805556,1,1,0.0004444,1427,0.7905074,1.0003372389356207
NA_ion,NA-ion_270040-1-1-64.pkl,10,2852,0.7902283,0.7914491,1424,1423.0,1.9998,1.9998,4.0001,-2.0002844,2.0002623,0.7906172151666667,0.7911712602361111,1,2,0.0001666999999999,1426,0.7902283,0.9999840554949763
NA_ion,NA-ion_270040-1-1-64.pkl,11,2850,0.7898974,0.7911207,1423,1421.0,2.0,2.0,4.0001,-2.0002637,2.0002739,0.7895084568611112,0.7911762190138888,1,1,0.0003889,1425,0.7898974,0.9995653224225676
NA_ion,NA-ion_270040-1-1-64.pkl,12,2850,0.7896775,0.7907309,1423,1421.0,1.9996,1.9996,4.0,-2.0002885,2.0003002,0.7895107550277779,0.7911753580277777,1,1,0.0001667,1425,0.7896775,0.9992870528467964
NA_ion,NA-ion_270040-1-1-64.pkl,13,2848,0.7893985,0.7905071,1422,1420.0,1.9998,1.9998,4.0,-2.0002975,2.0002933,0.7889539798194445,0.7906182017222222,1,1,0.0004444999999999,1424,0.7893985,0.9989339959498426
NA_ion,NA-ion_270040-1-1-64.pkl,14,2848,0.7891151,0.7901717,1422,1420.0,1.9999,1.9999,4.0001,-2.0002794,2.0002961,0.7889483968194444,0.79061613275,1,1,0.0001666999999999,1424,0.7891151,0.9985753711304995
