denom,fall,window,recov,det1_cells,det2_cells,det2_last3_cells,det1_events,det2_events
soh_repo,0.05,1,0.5x,0,4,4,0,4
soh_dis1,0.05,1,0.5x,0,4,4,0,4
soh_repo,0.05,1,1.0x,0,4,4,0,4
soh_dis1,0.05,1,1.0x,0,4,4,0,4
soh_repo,0.05,5,0.5x,0,4,4,0,4
soh_dis1,0.05,5,0.5x,0,4,4,0,4
soh_repo,0.05,5,1.0x,0,4,4,0,4
soh_dis1,0.05,5,1.0x,0,4,4,0,4
soh_repo,0.05,10,0.5x,0,4,4,0,4
soh_dis1,0.05,10,0.5x,0,4,4,0,4
soh_repo,0.05,10,1.0x,0,4,4,0,4
soh_dis1,0.05,10,1.0x,0,4,4,0,4
soh_repo,0.05,20,0.5x,0,4,4,0,4
soh_dis1,0.05,20,0.5x,0,4,4,0,4
soh_repo,0.05,20,1.0x,0,4,4,0,4
soh_dis1,0.05,20,1.0x,0,4,4,0,4
soh_repo,0.1,1,0.5x,0,4,4,0,4
soh_dis1,0.1,1,0.5x,0,4,4,0,4
soh_repo,0.1,1,1.0x,0,4,4,0,4
soh_dis1,0.1,1,1.0x,0,4,4,0,4
soh_repo,0.1,5,0.5x,0,4,4,0,4
soh_dis1,0.1,5,0.5x,0,4,4,0,4
soh_repo,0.1,5,1.0x,0,4,4,0,4
soh_dis1,0.1,5,1.0x,0,4,4,0,4
soh_repo,0.1,10,0.5x,0,4,4,0,4
soh_dis1,0.1,10,0.5x,0,4,4,0,4
soh_repo,0.1,10,1.0x,0,4,4,0,4
soh_dis1,0.1,10,1.0x,0,4,4,0,4
soh_repo,0.1,20,0.5x,0,4,4,0,4
soh_dis1,0.1,20,0.5x,0,4,4,0,4
soh_repo,0.1,20,1.0x,0,4,4,0,4
soh_dis1,0.1,20,1.0x,0,4,4,0,4
soh_repo,0.15,1,0.5x,0,3,3,0,3
soh_dis1,0.15,1,0.5x,0,3,3,0,3
soh_repo,0.15,1,1.0x,0,3,3,0,3
soh_dis1,0.15,1,1.0x,0,3,3,0,3
soh_repo,0.15,5,0.5x,0,3,3,0,3
soh_dis1,0.15,5,0.5x,0,3,3,0,3
soh_repo,0.15,5,1.0x,0,3,3,0,3
soh_dis1,0.15,5,1.0x,0,3,3,0,3
soh_repo,0.15,10,0.5x,0,3,3,0,3
soh_dis1,0.15,10,0.5x,0,3,3,0,3
soh_repo,0.15,10,1.0x,0,3,3,0,3
soh_dis1,0.15,10,1.0x,0,3,3,0,3
soh_repo,0.15,20,0.5x,0,3,3,0,3
soh_dis1,0.15,20,0.5x,0,3,3,0,3
soh_repo,0.15,20,1.0x,0,3,3,0,3
soh_dis1,0.15,20,1.0x,0,3,3,0,3
soh_repo,0.2,1,0.5x,0,3,3,0,3
soh_dis1,0.2,1,0.5x,0,3,3,0,3
soh_repo,0.2,1,1.0x,0,3,3,0,3
soh_dis1,0.2,1,1.0x,0,3,3,0,3
soh_repo,0.2,5,0.5x,0,3,3,0,3
soh_dis1,0.2,5,0.5x,0,3,3,0,3
soh_repo,0.2,5,1.0x,0,3,3,0,3
soh_dis1,0.2,5,1.0x,0,3,3,0,3
soh_repo,0.2,10,0.5x,0,3,3,0,3
soh_dis1,0.2,10,0.5x,0,3,3,0,3
soh_repo,0.2,10,1.0x,0,3,3,0,3
soh_dis1,0.2,10,1.0x,0,3,3,0,3
soh_repo,0.2,20,0.5x,0,3,3,0,3
soh_dis1,0.2,20,0.5x,0,3,3,0,3
soh_repo,0.2,20,1.0x,0,3,3,0,3
soh_dis1,0.2,20,1.0x,0,3,3,0,3
soh_repo,0.3,1,0.5x,0,2,2,0,2
soh_dis1,0.3,1,0.5x,0,2,2,0,2
soh_repo,0.3,1,1.0x,0,2,2,0,2
soh_dis1,0.3,1,1.0x,0,2,2,0,2
soh_repo,0.3,5,0.5x,0,2,2,0,2
soh_dis1,0.3,5,0.5x,0,2,2,0,2
soh_repo,0.3,5,1.0x,0,2,2,0,2
soh_dis1,0.3,5,1.0x,0,2,2,0,2
soh_repo,0.3,10,0.5x,0,2,2,0,2
soh_dis1,0.3,10,0.5x,0,2,2,0,2
soh_repo,0.3,10,1.0x,0,2,2,0,2
soh_dis1,0.3,10,1.0x,0,2,2,0,2
soh_repo,0.3,20,0.5x,0,2,2,0,2
soh_dis1,0.3,20,0.5x,0,2,2,0,2
soh_repo,0.3,20,1.0x,0,2,2,0,2
soh_dis1,0.3,20,1.0x,0,2,2,0,2
