file,n_cycles,last_soh,branch,eol_recomputed,label_released,first_cross,last_desc_cross,in_split,soh_at_label,soh_before,n_cycles_after,max_soh_after,n_above_0.0,n_above_0.01,n_above_0.02,n_above_0.05,label_gt_ncycles,match
NA-ion_270040-1-1-64.pkl,91,0.7688,first_cross,1.0,,1.0,,-,,,,,,,,,,
NA-ion_270040-1-2-63.pkl,235,0.7519,first_cross,177.0,177.0,177.0,177.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.7997,0.8003,58.0,0.7992,0.0,0.0,0.0,0.0,,True
NA-ion_270040-1-3-62.pkl,175,0.8249,regress,268.0,268.0,,,"NAion_2021:test,NAion_42:test,NAion_2024:test",,,,,,,,,True,True
NA-ion_270040-1-4-61.pkl,232,0.8686,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-1-5-60.pkl,236,0.753,first_cross,165.0,165.0,165.0,165.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.7998,0.8001,71.0,0.7991,0.0,0.0,0.0,0.0,,True
NA-ion_270040-1-6-59.pkl,240,0.7622,first_cross,201.0,201.0,201.0,201.0,"NAion_2021:val,NAion_42:val,NAion_2024:train",0.7998,0.8008,39.0,0.7989,0.0,0.0,0.0,0.0,,True
NA-ion_270040-1-7-58.pkl,223,0.7952,first_cross,214.0,214.0,214.0,214.0,"NAion_2021:train,NAion_42:test,NAion_2024:train",0.7996,0.8,9.0,0.7988,0.0,0.0,0.0,0.0,,True
NA-ion_270040-1-8-57.pkl,240,0.8211,regress,307.0,307.0,,,"NAion_2021:train,NAion_42:val,NAion_2024:train",,,,,,,,,True,True
NA-ion_270040-2-1-12.pkl,121,0.8595,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-2-2-12.pkl,128,0.8111,regress,158.0,158.0,,,"NAion_2021:train,NAion_42:train,NAion_2024:train",,,,,,,,,True,True
NA-ion_270040-2-3-12.pkl,121,0.8748,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-2-4-12.pkl,134,0.7587,first_cross,62.0,,62.0,62.0,-,,,,,,,,,,
NA-ion_270040-2-5-12.pkl,129,0.7917,first_cross,117.0,117.0,117.0,117.0,"NAion_2021:train,NAion_42:test,NAion_2024:train",0.7998,0.8005,12.0,0.7993,0.0,0.0,0.0,0.0,,True
NA-ion_270040-2-6-12.pkl,134,0.7646,first_cross,65.0,,65.0,65.0,-,,,,,,,,,,
NA-ion_270040-2-7-12.pkl,132,0.7841,first_cross,87.0,,87.0,87.0,-,,,,,,,,,,
NA-ion_270040-2-8-12.pkl,120,0.883,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-3-1-56.pkl,205,0.7408,first_cross,128.0,128.0,128.0,128.0,"NAion_2021:train,NAion_42:train,NAion_2024:val",0.7995,0.8002,77.0,0.7986,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-2-55.pkl,215,0.7878,first_cross,200.0,200.0,200.0,200.0,"NAion_2021:val,NAion_42:train,NAion_2024:val",0.7994,0.8001,15.0,0.7986,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-3-54.pkl,233,0.7105,first_cross,132.0,132.0,132.0,132.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.7999,0.8006,101.0,0.7993,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-4-53.pkl,225,0.7815,first_cross,184.0,184.0,184.0,184.0,"NAion_2021:val,NAion_42:train,NAion_2024:test",0.7998,0.8002,41.0,0.7993,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-5-52.pkl,251,0.7895,first_cross,231.0,231.0,231.0,231.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.8,0.8003,20.0,0.7995,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-6-51.pkl,246,0.8333,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-3-7-50.pkl,184,0.7523,first_cross,108.0,108.0,108.0,108.0,"NAion_2021:test,NAion_42:test,NAion_2024:test",0.7994,0.8003,76.0,0.7989,0.0,0.0,0.0,0.0,,True
NA-ion_270040-3-8-49.pkl,251,0.7997,first_cross,251.0,251.0,251.0,251.0,"NAion_2021:train,NAion_42:train,NAion_2024:train",0.7997,0.8002,0.0,,0.0,0.0,0.0,0.0,,True
NA-ion_270040-4-1-48.pkl,249,0.791,first_cross,235.0,235.0,235.0,235.0,"NAion_2021:test,NAion_42:train,NAion_2024:val",0.7999,0.8003,14.0,0.7995,0.0,0.0,0.0,0.0,,True
NA-ion_270040-4-2-47.pkl,202,0.7959,first_cross,196.0,196.0,196.0,196.0,"NAion_2021:val,NAion_42:train,NAion_2024:train",0.7994,0.8001,6.0,0.7989,0.0,0.0,0.0,0.0,,True
NA-ion_270040-4-3-46.pkl,243,0.7926,first_cross,227.0,227.0,227.0,227.0,"NAion_2021:test,NAion_42:train,NAion_2024:train",0.7997,0.8,16.0,0.7992,0.0,0.0,0.0,0.0,,True
NA-ion_270040-4-4-45.pkl,234,0.8437,abandon,,,,,-,,,,,,,,,,
NA-ion_270040-4-5-44.pkl,244,0.829,abandon,,,,,-,,,,,,,,,,
