# {"generated_at": "2026-08-13T22:38:44+09:00", "git_commit": "aa42bb5d4844eaa8a180775f440c0381343b98b0", "git_dirty": true, "numpy": "1.26.4", "python": "3.12.3", "script": "analysis/dataset_metadata_survey.py"}
subset,n_files,n_unique_cells,n_duplicate_files,n_read_ok,n_read_fail,total_bytes,total_GB_decimal,form_factor,anode_material,cathode_material,cathode_normalized,anode_normalized,cathode_subtype,polarity_swapped_cells,sector,nominal_capacity_in_Ah,max_voltage_limit_in_V,min_voltage_limit_in_V,soc_interval,charge_rate_C,discharge_rate_C,charge_protocol_multi_step_cells,n_cycle_records_min,n_cycle_records_median,n_cycle_records_median_upper,n_cycle_records_max,n_cycle_records_sum,cycle_number_max_median,cells_records_ne_cyclemax,cycle_number_first,cells_with_gaps,soh_first_min,soh_first_max,soh_last_min,soh_last_max,eol_branch_counts,labels_deployed,cells_without_label,temp_array_cells,temp_finite_cells,has_internal_resistance_cells,has_Qdlin_cells,points_per_cycle_median
CALB,27,27,0,27,0,51101371,0.05,Prismatic,graphite,NMC,NMC,graphite,,0,전기차 / ESS,58,4.25|4.35,2.2|2.5|2.75,"[0,1]",1|5|stepcharge,1|15|stepcharge,0,99,99.0,99,208,2791,100.0,17,1|2,0,0.8569,1.0416,0.5086,1.0514,CALB_external_excel=27,27,0,27,27,0,0,385.0
CALCE,13,13,0,13,0,206715832,0.21,prismatic,graphite,LiCoO2,LCO,graphite,,0,소형 IT기기,1.1|1.35,4.2,2.7,"[0,1]",0.5,0.5|1,0,632,1072.0,1072,1579,14298,1072.0,1,1|2,0,0.9403,1.0462,0.0922,0.6127,first_crossing=13,13,0,0,0,0,0,319.0
HNEI,14,14,0,14,0,398207822,0.4,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,블렌드,graphite,LCO+NMC442,0,소형 IT기기,2.8,4.3,3,"[0,1]",2,1,0,1075,1081.5,1082,1107,15164,1097.0,14,1,14,0.925,0.9489,0.3186,0.4179,first_crossing=14,14,0,14,0,0,0,367.5
HUST,77,77,0,77,0,4135274378,4.14,cylindrical_18650,graphite,LFP,LFP,graphite,,0,전동공구 / 경형,1.1,3.6,2.0,"[0,1]",1|5,<13종>,77,1142,1873.0,1873,2689,146120,1875.0,1,1|3,0,1.0716,1.1358,0.8098,0.8239,extrapolated=77,77,0,0,0,0,0,641.0
ISU_ILCC,240,240,0,240,0,29652259795,29.65, 502030-size Li-polymer,graphite,NMC,NMC,graphite,,0,소형 IT기기,0.25,4.2,3.0,<182종>,<39종>,<35종>,0,168,3072.0,3107,22037,1194846,3072.0,0,1,0,0.8677,1.1436,0.0,0.7907,first_crossing=240,240,0,0,0,0,0,787.5
MATR,169,169,0,169,0,8323045642,8.32,cylindrical_18650,graphite,LiFePO4,LFP,graphite,,0,전동공구 / 경형,1.1,3.5,2.0,"[0,1]",<62종>,4,169,169,811.0,811,2235,140001,811.0,0,1,0,0.9393,0.9951,0.2282,0.8031,extrapolated=81|first_crossing=88,169,0,169,169,169,169,848.0
MICH,40,40,0,40,0,791649640,0.79,pouch,graphite,NMC111,NMC,graphite,NMC111,0,소형 IT기기,2.36,4.2,3,"[0,1]",1,1,0,426,492.0,492,589,19895,492.0,0,1,0,0.925,1.0021,0.0,0.5013,first_crossing=40,40,0,40,0,0,0,684.5
MICH_EXP,18,18,0,18,0,500222916,0.5,pouch,graphite,NMC111,NMC,graphite,NMC111,0,전기차,5.0,4.2,3,"[0,1]|[0.5,1]",0.2|1.5|2,0.2|1.5|2,0,103,353.0,379,573,6545,353.0,0,1,0,0.6904,0.9992,0.1904,0.9992,abandoned=6|extrapolated=1|first_crossing=11,12,6,18,0,0,0,1331.0
NA-ion,64,64,0,64,0,701675961,0.7,cylindrical_18650,Unknown,Unknown,미상,미상,,0,실험실 연구 전용,1.0,4.0,2.0,"[0,1]",2.5,2.5,0,91,224.0,225,251,12604,224.0,0,1,0,0.7043,0.9781,0.5166,0.8997,abandoned=21|extrapolated=6|first_crossing=37,34,30,0,0,0,0,1103.0
RWTH,48,48,0,48,0,2589118491,2.59,cylindrical_18650,graphite,NMC,NMC,graphite,,0,경형 이동수단,1.85,3.9,3.5,"[0.2,0.8]",2,2,48,1488,2261.5,2264,2448,105397,2277.0,48,1,48,0.9499,0.9743,0.1671,0.5206,first_crossing=48,48,0,0,0,0,0,545.0
