subset,n_cells,n_read_ok,n_read_fail,total_bytes,form_factor,anode_material,cathode_material,nominal_capacity_in_Ah,max_voltage_limit_in_V,min_voltage_limit_in_V,soc_interval,charge_rate_C,discharge_rate_C,charge_protocol_multi_step_cells,n_cycles_min,n_cycles_median,n_cycles_max,n_cycles_sum,cycle_number_first,cells_with_gaps,soh_first_min,soh_first_max,soh_last_min,soh_last_max,eol_branch_counts,labels_deployed,cells_without_label,has_temperature_cells,has_internal_resistance_cells,has_Qdlin_cells,points_per_cycle_median
CALB,27,27,0,51101371,Prismatic,graphite,NMC,58,4.25|4.35,2.2|2.5|2.75,"[0,1]",1|5|stepcharge,1|15|stepcharge,0,99,99.0,208,2791,1|2,0,0.8569,1.0416,0.5086,1.0514,CALB_external_excel=27,27,0,27,0,0,385.0
CALCE,13,13,0,206715832,prismatic,graphite,LiCoO2,1.1|1.35,4.2,2.7,"[0,1]",0.5,0.5|1,0,632,1072.0,1579,14298,1|2,0,0.9403,1.0462,0.0922,0.6127,first_crossing=13,13,0,0,0,0,319.0
HNEI,14,14,0,398207822,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,2.8,4.3,3,"[0,1]",2,1,0,1075,1081.5,1107,15164,1,14,0.925,0.9489,0.3186,0.4179,first_crossing=14,14,0,14,0,0,367.5
HUST,77,77,0,4135274378,cylindrical_18650,graphite,LFP,1.1,3.6,2.0,"[0,1]",1|5,<13 distinct>,77,1142,1873.0,2689,146120,1|3,0,1.0716,1.1358,0.8098,0.8239,extrapolated=77,77,0,0,0,0,641.0
ISU_ILCC,240,240,0,29652259795, 502030-size Li-polymer,graphite,NMC,0.25,4.2,3.0,<182 distinct>,<39 distinct>,<35 distinct>,0,168,3072.0,22037,1194846,1,0,0.8677,1.1436,0.0,0.7907,first_crossing=240,240,0,0,0,0,787.5
MATR,169,169,0,8323045642,cylindrical_18650,graphite,LiFePO4,1.1,3.5,2.0,"[0,1]",<62 distinct>,4,169,169,811.0,2235,140001,1,0,0.9393,0.9951,0.2282,0.8031,extrapolated=81|first_crossing=88,169,0,169,169,169,848.0
MICH,40,40,0,791649640,pouch,graphite,NMC111,2.36,4.2,3,"[0,1]",1,1,0,426,492.0,589,19895,1,0,0.925,1.0021,0.0,0.5013,first_crossing=40,40,0,40,0,0,684.5
MICH_EXP,18,18,0,500222916,pouch,graphite,NMC111,5.0,4.2,3,"[0,1]|[0.5,1]",0.2|1.5|2,0.2|1.5|2,0,103,353.0,573,6545,1,0,0.6904,0.9992,0.1904,0.9992,abandoned=6|extrapolated=1|first_crossing=11,12,6,18,0,0,1331.0
NA-ion,64,64,0,701675961,cylindrical_18650,Unknown,Unknown,1.0,4.0,2.0,"[0,1]",2.5,2.5,0,91,224.0,251,12604,1,0,0.7043,0.9781,0.5166,0.8997,abandoned=21|extrapolated=6|first_crossing=37,34,30,0,0,0,1103.0
RWTH,48,48,0,2589118491,cylindrical_18650,graphite,NMC,1.85,3.9,3.5,"[0.2,0.8]",2,2,48,1488,2261.5,2448,105397,1,48,0.9499,0.9743,0.1671,0.5206,first_crossing=48,48,0,0,0,0,545.0
SDU,86,86,0,3959873319,cylindrical,graphite,NMC_532,2.4,4.2,3,"[0,1]",,,0,66,453.5,1426,49146,1,0,0.9918,1.0955,0.6206,0.824,extrapolated=9|first_crossing=77,70,16,86,0,0,1182.5
SNL,61,61,0,629693691,cylindrical_18650,graphite,LFP|NCA|NMC,1.1|2.7|2.8800000000000003|3|3.2,3.6|4.2,2.0|2.5,"[0,1]|[0.2,0.8]",0.5,0.5|1|2|3,0,389,786.0,4569,96492,1,0,0.9166,1.0562,0.0216,0.8845,abandoned=9|extrapolated=3|first_crossing=49,52,9,61,0,0,77.0
Stanford,41,41,0,4244714362,pouch,graphite,LiNi0.5Mn0.3Co0.2O2,0.24,4.4,3,"[0,1]",1,0.75,0,719,936.0,1420,39329,1,0,1.005,1.0464,0.0,0.5301,first_crossing=41,41,0,41,0,0,1997.0
Stanford_2,181,181,0,20364177417,pouch,graphite,LiNi0.5Mn0.3Co0.2O2,0.24,4.4,3,"[0,1]",1,0.75,0,736,1019.0,1624,188621,1,0,0.9946,1.0464,0.0,0.5876,first_crossing=181,181,0,181,0,0,2000.0
Tongji,130,130,0,4173056764,cylindrical_18650,Graphite|Graphite/Si,42 wt.% Li(NiCoMn)O2 blended with 58 wt.% Li(NiCoAl)O2 (NCM+NCA)|Li0.84(Ni0.83Co0.11Mn 0.07)O2 (NCM)|Li0.86Ni0.86Co0.11Al0.03 O2 (NCA),2.5|3.5,4.2,2.5|2.65,"[0,1]",,,0,27,399.0,1251,59038,2,72,0.8761,1.0002,0.66,0.9035,abandoned=22|extrapolated=8|first_crossing=100,108,22,0,0,0,883.5
UL_PUR,10,10,0,27975169,cylindrical_18650,graphite,LiNi0.8Co0.15Al0.05O2,3.4,4.2,2.7,"[0,1]",2,1,0,164,211.5,309,2245,1,0,0.8859,0.9835,0.7174,0.8238,extrapolated=5|first_crossing=5,2,8,10,0,0,223.0
XJTU,23,23,0,2511796401,cylindrical_18650,graphite,LiNi0.5Co0.2Mn0.3O2,2.0,4.2,2.5,"[0,1]",2|3,1,0,130,298.0,419,6938,1,0,0.8935,0.969,0.7905,0.8005,extrapolated=1|first_crossing=22,23,0,0,0,0,6352.0
ZN-coin,140,140,0,3186896878,coin,MnO2,Zinc,<140 distinct>,1.8,0.8,"[0,1]",8,8,0,41,391.0,1737,80052,1,0,0.997,1.0,0.0,1.0019,abandoned=19|extrapolated=3|first_crossing=118,121,19,0,0,0,751.0
