subset,cell,chemistry,n_measured,boundary_branch,boundary_prefix_match,n_total,n_extrapolated,extrap_frac,pchip_changed,pchip_max_abs_diff,observed__knee_curvature_max_cycle,observed__knee_curvature_max_lifefrac,observed__knee_bilinear_cycle,observed__knee_bilinear_lifefrac,observed__knee_tangent_cross_cycle,observed__knee_tangent_cross_lifefrac,observed__curv_quad_coef_cycle,observed__curv_resid_signmean_cycle,observed__curv_slope_ratio_cycle,observed__curv_quad_coef_lifefrac,observed__curv_resid_signmean_lifefrac,observed__curv_slope_ratio_lifefrac,observed__eol_cycle,observed__n_points,observed__soh_first,observed__soh_last,observed__fade_rate_per_cycle,processed__knee_curvature_max_cycle,processed__knee_curvature_max_lifefrac,processed__knee_bilinear_cycle,processed__knee_bilinear_lifefrac,processed__knee_tangent_cross_cycle,processed__knee_tangent_cross_lifefrac,processed__curv_quad_coef_cycle,processed__curv_resid_signmean_cycle,processed__curv_slope_ratio_cycle,processed__curv_quad_coef_lifefrac,processed__curv_resid_signmean_lifefrac,processed__curv_slope_ratio_lifefrac,processed__eol_cycle,processed__n_points,processed__soh_first,processed__soh_last,processed__fade_rate_per_cycle
CALB,CALB_0_B182.pkl,NMC,108,TRUNCATED_AT_EOL,1,108,0,0.0,0,0.000e+00,21.0,0.19444444444444445,,,,,-4.808880129652465e-07,-0.12962962962962962,0.8710917094527153,-0.005609077783224485,-0.12962962962962962,0.8710917094527176,108.0,108,1.0,0.898850379973826,0.0009453235516464861,21.0,0.19444444444444445,,,,,-4.808880129652465e-07,-0.12962962962962962,0.8710917094527153,-0.005609077783224485,-0.12962962962962962,0.8710917094527176,108.0,108,1.0,0.898850379973826,0.0009453235516464861
CALB,CALB_0_B183.pkl,NMC,105,TRUNCATED_AT_EOL,1,105,0,0.0,0,0.000e+00,6.0,0.05714285714285714,,,,,-1.958979438511806e-07,0.047619047619047616,0.9117680083928992,-0.0021597748309607656,0.047619047619047616,0.9117680083929052,105.0,105,1.0,0.8995570895477902,0.0009657972158866324,6.0,0.05714285714285714,,,,,-1.958979438511806e-07,0.047619047619047616,0.9117680083928992,-0.0021597748309607656,0.047619047619047616,0.9117680083929052,105.0,105,1.0,0.8995570895477902,0.0009657972158866324
CALB,CALB_0_B184.pkl,NMC,176,TRUNCATED_AT_EOL,1,176,0,0.0,0,0.000e+00,9.0,0.05113636363636364,,,,,7.715603192642649e-07,-0.11363636363636363,1.4223707640672274,0.02389985244953437,-0.11363636363636363,1.4223707640672338,176.0,176,1.0,0.8999398036746616,0.0005717725504305049,9.0,0.05113636363636364,,,,,7.715603192642649e-07,-0.11363636363636363,1.4223707640672274,0.02389985244953437,-0.11363636363636363,1.4223707640672338,176.0,176,1.0,0.8999398036746616,0.0005717725504305049
CALB,CALB_0_B185.pkl,NMC,161,TRUNCATED_AT_EOL,1,161,0,0.0,0,0.000e+00,9.0,0.055900621118012424,128.27638190954775,0.7967477137238991,,,-5.859702736351364e-07,-0.14285714285714285,0.8057466881220852,-0.015188935462897821,-0.14285714285714285,0.8057466881220902,161.0,161,1.0,0.8995781377711038,0.0006276366389306009,9.0,0.055900621118012424,128.27638190954775,0.7967477137238991,,,-5.859702736351364e-07,-0.14285714285714285,0.8057466881220852,-0.015188935462897821,-0.14285714285714285,0.8057466881220902,161.0,161,1.0,0.8995781377711038,0.0006276366389306009
CALB,CALB_0_B187.pkl,NMC,189,TRUNCATED_AT_EOL,1,189,0,0.0,0,0.000e+00,10.0,0.05291005291005291,146.01507537688443,0.7725665363856319,,,-5.334272175738658e-07,-0.06878306878306878,0.7576529985574123,-0.019054553638959214,-0.06878306878306878,0.7576529985574059,189.0,189,1.0,0.8994663272637141,0.0005347535783844994,10.0,0.05291005291005291,146.01507537688443,0.7725665363856319,,,-5.334272175738658e-07,-0.06878306878306878,0.7576529985574123,-0.019054553638959214,-0.06878306878306878,0.7576529985574059,189.0,189,1.0,0.8994663272637141,0.0005347535783844994
CALB,CALB_0_B188.pkl,NMC,123,TRUNCATED_AT_EOL,1,123,0,0.0,0,0.000e+00,7.0,0.056910569105691054,89.22010050251257,0.7253666707521347,,,-1.4287700896862993e-06,-0.008130081300813009,0.712478407339788,-0.021615862686864672,-0.008130081300813009,0.7124784073398025,123.0,123,1.0,0.8991330298102939,0.0008267784441779192,7.0,0.056910569105691054,89.22010050251257,0.7253666707521347,,,-1.4287700896862993e-06,-0.008130081300813009,0.712478407339788,-0.021615862686864672,-0.008130081300813009,0.7124784073398025,123.0,123,1.0,0.8991330298102939,0.0008267784441779192
CALB,CALB_0_B189.pkl,NMC,164,TRUNCATED_AT_EOL,1,164,0,0.0,0,0.000e+00,110.0,0.6707317073170732,,,,,8.05489883203841e-09,0.0,0.9748159621019035,0.0002166445589874057,0.0,0.9748159621018991,164.0,164,1.0,0.8996836822979756,0.0006154375319142603,110.0,0.6707317073170732,,,,,8.05489883203841e-09,0.0,0.9748159621019035,0.0002166445589874057,0.0,0.9748159621018991,164.0,164,1.0,0.8996836822979756,0.0006154375319142603
CALB,CALB_0_B190.pkl,NMC,104,TRUNCATED_AT_EOL,1,104,0,0.0,0,0.000e+00,8.0,0.07692307692307693,,,,,-1.1751892976981913e-06,0.038461538461538464,0.7877777572955593,-0.012710847443903312,0.038461538461538464,0.7877777572955551,104.0,104,1.0,0.8999813227848883,0.0009710551185933175,8.0,0.07692307692307693,,,,,-1.1751892976981913e-06,0.038461538461538464,0.7877777572955593,-0.012710847443903312,0.038461538461538464,0.7877777572955551,104.0,104,1.0,0.8999813227848883,0.0009710551185933175
CALB,CALB_25_T25-1.pkl,NMC,792,TRUNCATED_AT_EOL,1,792,0,0.0,0,0.000e+00,120.0,0.15151515151515152,124.61859296482413,0.15734670828891936,,,-1.9228300699404278e-08,0.23232323232323232,0.9165631502361105,-0.012061220809908046,0.23232323232323232,0.916563150236105,792.0,792,1.0,0.8998088313693169,0.0001266639300008636,120.0,0.15151515151515152,124.61859296482413,0.15734670828891936,,,-1.9228300699404278e-08,0.23232323232323232,0.9165631502361105,-0.012061220809908046,0.23232323232323232,0.916563150236105,792.0,792,1.0,0.8998088313693169,0.0001266639300008636
CALB,CALB_25_T25-2.pkl,NMC,981,EXTRAPOLATED,1,1069,88,0.08232,0,0.000e+00,128.0,0.1304791029561672,,,,,3.670598011274833e-09,-0.03567787971457696,1.054303211891624,0.0035324403727291748,-0.03567787971457696,1.054303211891595,981.0,981,1.0,0.9137903984422794,8.796898118134756e-05,963.0,0.9008419083255379,876.3306532663316,0.8197667476766433,,,1.0063737798841033e-08,-0.002806361085126286,1.119581078299323,0.01150044707074352,-0.002806361085126286,1.1195810782993252,1069.0,1069,1.0,0.9,9.36329588014981e-05
