subset,cell,chemistry,flags,severity,knee_rank_spread,curv_rank_spread,knee_lifefrac_gap_obs_vs_proc,n_total,n_measured,n_extrapolated,extrap_frac,pchip_changed,eol_cycle,soh_first,soh_last,knee_curvature_max_lifefrac,knee_bilinear_lifefrac,knee_tangent_cross_lifefrac
SNL,SNL_18650_NCA_15C_0-100_0.5-1C_b.pkl,NCA,curv_rank_spread>=0.7,0.9792,0.6462,0.9792,0.0201,632,632,0,0.0,1,632.0,0.9864583333333333,0.7999999999999998,0.8639240506329114,0.35830338400865086,0.4115485149463344
ISU_ILCC,ISU-ILCC_G52C3.pkl,NMC,knee_rank_spread>=0.7,0.9756,0.9756,0.5858,0.0,661,661,0,0.0,0,661.0,0.9963499154748888,0.7907559844610589,0.9485627836611196,0.1374877412782521,0.10223416987823246
MATR,MATR_b4c36.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9709,0.9709,0.75,0.0,599,599,0,0.0,0,599.0,0.9629059090909091,0.799713409090909,0.05008347245409015,0.8640464425634015,0.7643385417300367
XJTU,XJTU_3C_battery-12.pkl,NMC,curv_rank_spread>=0.7,0.965,0.1242,0.965,0.0,211,211,0,0.0,0,211.0,0.8965,0.799,0.23222748815165878,0.6324037247850628,0.5179715218740432
RWTH,RWTH_026.pkl,NMC,curv_rank_spread>=0.7,0.9642,0.6297,0.9642,0.004,579,579,0,0.0,1,583.0,0.957275839207564,0.7973465873562944,0.8627787307032591,0.3784548816121775,0.3679231327875872
CALB,CALB_45_B256.pkl,NMC,knee_rank_spread>=0.7,0.964,0.964,0.0367,0.0,986,986,0,0.0,0,986.0,1.0,0.8813683679780235,0.9482758620689655,0.1491050587623717,0.3498715161192755
MATR,MATR_b3c39.pkl,LFP,knee_rank_spread>=0.7,0.9593,0.9593,0.595,0.0,1155,1154,1,0.000866,0,1155.0,0.9521850909090909,0.8,0.050216450216450215,0.8679536209184451,0.7608199135019154
SNL,SNL_18650_NMC_25C_0-100_0.5-0.5C_b.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9575,0.725,0.9575,0.0,506,506,0,0.0,1,506.0,0.9966666666666667,0.7996666666666666,0.6007905138339921,0.13387590124535723,0.2341657800711573
SNL,SNL_18650_NMC_25C_0-100_0.5-1C_b.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9575,0.7903,0.9575,0.0,468,468,0,0.0,1,468.0,0.9226666666666666,0.7999999999999999,0.8525641025641025,0.22627990379246662,0.31119627491996976
XJTU,XJTU_3C_battery-11.pkl,NMC,curv_rank_spread>=0.7,0.9567,0.0589,0.9567,0.0,130,130,0,0.0,0,130.0,0.9,0.798,0.27692307692307694,0.5656783919597991,0.52585013103361
RWTH,RWTH_027.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7;observed_vs_processed_kneefrac>=0.05,0.9558,0.806,0.9558,0.1124,585,585,0,0.0,1,589.0,0.9571085374967668,0.7999521954554226,0.9422750424448217,0.25804574655962326,0.37786416974842246
SNL,SNL_18650_NMC_25C_0-100_0.5-3C_a.pkl,NMC,curv_rank_spread>=0.7,0.9558,0.5634,0.9558,0.0,422,422,0,0.0,1,422.0,0.9583333333333334,0.8140000000000001,0.466824644549763,0.15828074019386032,0.27949515228667665
SNL,SNL_18650_NMC_35C_0-100_0.5-2C_b.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9525,0.7679,0.9525,0.004,566,566,0,0.0,1,566.0,0.9256666666666667,0.7999999999999999,0.7667844522968198,0.1938890565903724,0.3056598519450708
XJTU,XJTU_3C_battery-13.pkl,NMC,curv_rank_spread>=0.7,0.9525,0.1325,0.9525,0.0,225,225,0,0.0,0,225.0,0.9005,0.7995,0.18666666666666668,0.6282925739810161,0.5191873703971709
XJTU,XJTU_3C_battery-14.pkl,NMC,curv_rank_spread>=0.7,0.945,0.0548,0.945,0.0,146,146,0,0.0,0,146.0,0.897,0.797,0.2534246575342466,0.5852722516693055,0.5227120463624376
Stanford_2,Stanford_Nova_Regular_309.pkl,NMC,knee_rank_spread>=0.7,0.9436,0.9436,0.2717,0.0,758,758,0,0.0,0,758.0,1.0162526741623878,0.7995143532752991,0.9155672823218998,0.3982823086408296,0.08215050342347004
MATR,MATR_b4c31.pkl,LFP,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9415,0.9415,0.7967,0.0,559,559,0,0.0,0,559.0,0.9560879999999999,0.7982993636363636,0.05008944543828265,0.8480110750532629,0.7527933011865093
XJTU,XJTU_3C_battery-9.pkl,NMC,curv_rank_spread>=0.7,0.9383,0.0707,0.9383,0.0,286,286,0,0.0,0,286.0,0.901,0.7985,0.15734265734265734,0.5478177601293179,0.48258408941825526
ZN-coin,ZN-coin_418-1_20231209234141_11_1.pkl,MnO2,curv_rank_spread>=0.7,0.9375,0.2585,0.9375,0.0,103,103,0,0.0,0,103.0,0.998472270937393,0.7911405137674301,0.2524271844660194,0.7496901985656439,0.6755167604434711
XJTU,XJTU_3C_battery-8.pkl,NMC,curv_rank_spread>=0.7,0.935,0.3923,0.935,0.0,269,269,0,0.0,0,269.0,0.9315,0.798,0.2825278810408922,0.8002428499374195,0.5783354093115324
ISU_ILCC,ISU-ILCC_G57C4.pkl,NMC,knee_rank_spread>=0.7,0.9339,0.9339,0.2017,0.0,4904,4904,0,0.0,0,4904.0,0.9859694340375736,0.7988266190117657,0.9333197389885808,0.21272338445899974,0.13350609160763
XJTU,XJTU_3C_battery-10.pkl,NMC,curv_rank_spread>=0.7,0.9325,0.0261,0.9325,0.0,163,163,0,0.0,0,163.0,0.905,0.7995,0.22085889570552147,0.5370287017911645,0.49767924446732725
ISU_ILCC,ISU-ILCC_G56C4.pkl,NMC,knee_rank_spread>=0.7,0.9308,0.9308,0.4092,0.0,1010,1010,0,0.0,0,1010.0,1.017000139213856,0.7991571403458549,0.9504950495049505,0.22940693566844125,0.18091625980265527
SNL,SNL_18650_NMC_25C_0-100_0.5-2C_a.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.9308,0.8575,0.9308,0.004,333,333,0,0.0,1,333.0,0.9763333333333333,0.7999999999999999,0.8138138138138138,0.14679101211764528,0.3739798712178938
Tongji,Tongji1_CY45-05_1--16.pkl,NCA,curv_rank_spread>=0.7,0.9308,0.5869,0.9308,0.0,219,219,0,0.0,0,220.0,0.9602588343261717,1.0642029547740741,0.9454545454545454,0.5423892188213796,0.5332073813706174
SNL,SNL_18650_NMC_35C_0-100_0.5-1C_a.pkl,NMC,knee_rank_spread>=0.7;curv_rank_spread>=0.7,0.93,0.8014,0.93,0.004,500,500,0,0.0,1,500.0,0.9403333333333334,0.8119999999999999,0.812,0.20210150753768846,0.33264762738609516
Tongji,Tongji1_CY45-05_1--13.pkl,NCA,curv_rank_spread>=0.7,0.9275,0.1975,0.9275,0.0,415,415,0,0.0,0,416.0,0.9545187794260366,0.7996758637258192,0.18028846153846154,0.24835475454194048,0.32620873958761265
