subset,in_a,in_b,both,equal,differ,only_a,only_b,agreement_pct_over_both,note
CALB,27,0,0,0,0,27,0,,MFormer 엑셀로 27/27 (배포 트리에서는 생성 불가)
Tongji,108,108,108,4,104,0,0,3.7037,
ISU-ILCC,240,240,240,85,155,0,0,35.4167,
UL-PUR,2,10,2,2,0,0,8,100.0,
MICH_EXP,12,12,12,12,0,0,0,100.0,
CALCE,13,13,13,13,0,0,0,100.0,
HNEI,14,14,14,14,0,0,0,100.0,
XJTU,23,23,23,23,0,0,0,100.0,
NA-ion,34,43,34,34,0,0,9,100.0,
MICH,40,40,40,40,0,0,0,100.0,
Stanford,41,41,41,41,0,0,0,100.0,
RWTH,48,48,48,48,0,0,0,100.0,
SNL,52,52,52,52,0,0,0,100.0,
total_MICH,52,52,52,52,0,0,0,100.0,
SDU,70,86,70,70,0,0,16,100.0,
HUST,77,77,77,77,0,0,0,100.0,
ZN-coin,121,121,121,121,0,0,0,100.0,
MATR,169,169,169,169,0,0,0,100.0,
Stanford_2,181,181,181,181,0,0,0,100.0,
