cell,label_A,label_B,equal,abs_diff,rel_diff,in_test140,a_pass_rule5,b_pass_rule5
ISU-ILCC_G34C2.pkl,3109,317,False,2792,0.8980379543261499,False,True,True
ISU-ILCC_G40C3.pkl,16,2,False,14,0.875,False,False,False
ISU-ILCC_G42C2.pkl,1463,1869,False,406,0.27751196172248804,False,True,True
ISU-ILCC_G61C2.pkl,836,1055,False,219,0.2619617224880383,False,True,True
ISU-ILCC_G14C4.pkl,169,127,False,42,0.2485207100591716,True,True,True
ISU-ILCC_G6C1.pkl,3455,2610,False,845,0.24457308248914617,False,True,True
ISU-ILCC_G13C1.pkl,676,544,False,132,0.1952662721893491,True,True,True
ISU-ILCC_G29C2.pkl,967,1152,False,185,0.19131334022750776,False,True,True
ISU-ILCC_G51C1.pkl,466,549,False,83,0.1781115879828326,False,True,True
ISU-ILCC_G27C1.pkl,665,781,False,116,0.17443609022556392,False,True,True
ISU-ILCC_G14C3.pkl,134,112,False,22,0.16417910447761194,False,True,True
ISU-ILCC_G42C3.pkl,1185,1369,False,184,0.15527426160337554,False,True,True
ISU-ILCC_G12C4.pkl,2169,1838,False,331,0.15260488704472108,False,True,True
ISU-ILCC_G59C2.pkl,2842,3269,False,427,0.15024630541871922,False,True,True
ISU-ILCC_G47C3.pkl,925,1060,False,135,0.14594594594594595,False,True,True
ISU-ILCC_G19C1.pkl,476,410,False,66,0.13865546218487396,False,True,True
ISU-ILCC_G2C4.pkl,1031,890,False,141,0.1367604267701261,True,True,True
ISU-ILCC_G10C4.pkl,1017,882,False,135,0.13274336283185842,False,True,True
ISU-ILCC_G10C1.pkl,715,622,False,93,0.13006993006993006,False,True,True
ISU-ILCC_G3C2.pkl,522,456,False,66,0.12643678160919541,False,True,True
ISU-ILCC_G29C4.pkl,1166,1312,False,146,0.12521440823327615,False,True,True
ISU-ILCC_G27C4.pkl,663,746,False,83,0.12518853695324283,False,True,True
ISU-ILCC_G55C2.pkl,862,968,False,106,0.12296983758700696,False,True,True
ISU-ILCC_G27C3.pkl,446,500,False,54,0.1210762331838565,False,True,True
ISU-ILCC_G47C2.pkl,1334,1494,False,160,0.1199400299850075,False,True,True
ISU-ILCC_G19C2.pkl,393,346,False,47,0.11959287531806616,False,True,True
ISU-ILCC_G19C3.pkl,570,503,False,67,0.11754385964912281,False,True,True
ISU-ILCC_G49C3.pkl,4283,3795,False,488,0.11393882792435209,False,True,True
ISU-ILCC_G48C4.pkl,699,777,False,78,0.11158798283261803,False,True,True
ISU-ILCC_G8C3.pkl,791,708,False,83,0.10493046776232617,True,True,True
ISU-ILCC_G13C3.pkl,818,742,False,76,0.09290953545232274,False,True,True
ISU-ILCC_G47C1.pkl,917,998,False,81,0.08833151581243184,False,True,True
ISU-ILCC_G56C4.pkl,930,1010,False,80,0.08602150537634409,True,True,True
ISU-ILCC_G27C2.pkl,588,636,False,48,0.08163265306122448,False,True,True
ISU-ILCC_G43C1.pkl,2204,2383,False,179,0.08121597096188747,False,True,True
ISU-ILCC_G13C4.pkl,671,617,False,54,0.08047690014903129,False,True,True
ISU-ILCC_G12C3.pkl,1910,1759,False,151,0.07905759162303665,False,True,True
ISU-ILCC_G62C1.pkl,560,603,False,43,0.07678571428571429,False,True,True
ISU-ILCC_G47C4.pkl,902,971,False,69,0.07649667405764966,False,True,True
ISU-ILCC_G29C3.pkl,1309,1409,False,100,0.07639419404125286,False,True,True
ISU-ILCC_G3C3.pkl,764,707,False,57,0.07460732984293193,False,True,True
ISU-ILCC_G28C1.pkl,607,562,False,45,0.07413509060955518,False,True,True
ISU-ILCC_G48C1.pkl,677,725,False,48,0.07090103397341212,False,True,True
ISU-ILCC_G32C4.pkl,1569,1680,False,111,0.07074569789674952,False,True,True
ISU-ILCC_G51C3.pkl,779,832,False,53,0.06803594351732992,True,True,True
ISU-ILCC_G55C1.pkl,874,933,False,59,0.06750572082379863,False,True,True
ISU-ILCC_G51C4.pkl,980,1046,False,66,0.0673469387755102,False,True,True
