model,seed,condition,train_labels,test_labels,test_mape,test_acc15,test_seen_mape,test_unseen_mape
CPMLP,42,AA,A,A,0.1859,58.4143,0.1576,0.2226
CPMLP,42,AB,A,B,0.1933,59.6643,0.1576,0.2396
CPMLP,42,BA,B,A,0.1688,64.8714,0.1507,0.1922
CPMLP,42,BB,B,B,0.1741,64.1143,0.1507,0.2044
CPMLP,2021,AA,A,A,0.1795,61.0643,0.1597,0.2052
CPMLP,2021,AB,A,B,0.1862,61.0214,0.1597,0.2207
CPMLP,2021,BA,B,A,0.1937,56.5786,0.1765,0.2159
CPMLP,2021,BB,B,B,0.2008,56.4286,0.1765,0.2322
CPMLP,2024,AA,A,A,0.1852,59.1929,0.1623,0.2148
CPMLP,2024,AB,A,B,0.1926,58.7286,0.1623,0.2319
CPMLP,2024,BA,B,A,0.1767,59.8571,0.1627,0.1949
CPMLP,2024,BB,B,B,0.1831,59.8857,0.1627,0.2095
CPMLP,7,AA,A,A,0.1709,62.6429,0.1586,0.1869
CPMLP,7,AB,A,B,0.1773,62.7714,0.1586,0.2017
CPMLP,7,BA,B,A,0.1978,54.0143,0.192,0.2053
CPMLP,7,BB,B,B,0.2057,52.9,0.192,0.2235
CPMLP,1234,AA,A,A,0.1998,58.3214,0.1784,0.2275
CPMLP,1234,AB,A,B,0.2094,58.5571,0.1784,0.2496
CPMLP,1234,BA,B,A,0.1802,60.7357,0.1704,0.1931
CPMLP,1234,BB,B,B,0.1849,60.9286,0.1704,0.2038
CPTransformer,42,AA,A,A,0.1983,55.4429,0.1849,0.2158
CPTransformer,42,AB,A,B,0.2079,54.5429,0.1849,0.2376
CPTransformer,42,BA,B,A,0.1991,56.3286,0.1847,0.2177
CPTransformer,42,BB,B,B,0.208,55.9714,0.1847,0.2382
CPTransformer,2021,AA,A,A,0.2085,52.3143,0.1724,0.2552
CPTransformer,2021,AB,A,B,0.2185,52.4714,0.1724,0.2781
CPTransformer,2021,BA,B,A,0.1794,58.2429,0.1615,0.2026
CPTransformer,2021,BB,B,B,0.1855,58.6571,0.1615,0.2164
CPTransformer,2024,AA,A,A,0.1924,57.8857,0.1748,0.2151
CPTransformer,2024,AB,A,B,0.2025,57.7357,0.1748,0.2383
CPTransformer,2024,BA,B,A,0.1842,59.5286,0.1654,0.2086
CPTransformer,2024,BB,B,B,0.1926,60.5,0.1654,0.2278
CPTransformer,7,AA,A,A,0.2017,57.5071,0.1805,0.2292
CPTransformer,7,AB,A,B,0.2124,57.2714,0.1805,0.2537
CPTransformer,7,BA,B,A,0.1754,59.1714,0.1555,0.2011
CPTransformer,7,BB,B,B,0.1831,59.4429,0.1555,0.2188
CPTransformer,1234,AA,A,A,0.1872,59.3929,0.1596,0.2229
CPTransformer,1234,AB,A,B,0.196,60.2214,0.1596,0.2432
CPTransformer,1234,BA,B,A,0.1812,57.4929,0.16,0.2085
CPTransformer,1234,BB,B,B,0.1891,57.75,0.16,0.2267
