rank,cell,label_A,label_B,rel_change,seen_unseen,mape_A,mape_B,weight,contrib_mape,cum_abs_share_pct
1,ISU-ILCC_G14C4.pkl,169,127,-0.2485207100591716,unseen,0.26033416856393304,0.6657617735374631,0.007142857142857143,0.002895911464096643,26.5102
2,ISU-ILCC_G13C1.pkl,676,544,-0.1952662721893491,unseen,0.194953127347506,0.48376782922183764,0.007142857142857143,0.0020629621562452257,45.3953
3,ISU-ILCC_G2C4.pkl,1031,890,-0.1367604267701261,unseen,0.5971224732274112,0.8496653930664063,0.007142857142857143,0.001803877998849965,61.9087
4,ISU-ILCC_G12C2.pkl,836,795,-0.04904306220095694,unseen,1.4162173894124739,1.5408273428287147,0.007142857142857143,0.0008900710958302912,70.0567
5,ISU-ILCC_G56C4.pkl,930,1010,0.08602150537634409,unseen,0.12530276902721776,0.04757156220993194,0.007142857142857143,-0.0005552229058377559,75.1394
6,ISU-ILCC_G8C3.pkl,791,708,-0.10493046776232617,unseen,0.14323936506770504,0.07398651485119837,0.007142857142857143,-0.0004946632158321906,79.6677
7,ISU-ILCC_G51C3.pkl,779,832,0.06803594351732992,unseen,0.14814550937951299,0.20194949076725888,0.007142857142857143,0.00038431415276961344,83.1859
8,ISU-ILCC_G48C3.pkl,817,870,0.06487148102815178,unseen,0.2732398311096714,0.31751372645586384,0.007142857142857143,0.0003162421096156603,86.0809
9,ISU-ILCC_G14C2.pkl,190,178,-0.06315789473684211,unseen,0.17987665887129933,0.21732025077905548,0.007142857142857143,0.0002674542279125438,88.5293
10,ISU-ILCC_G61C4.pkl,1164,1227,0.05412371134020619,unseen,0.35242231378194794,0.3856720238322636,0.007142857142857143,0.0002374979289308263,90.7034
11,ISU-ILCC_G3C1.pkl,886,919,0.03724604966139955,unseen,0.2440144848963477,0.27116086356709906,0.007142857142857143,0.00019390270479108132,92.4785
12,ISU-ILCC_G63C4.pkl,590,576,-0.023728813559322035,unseen,0.11616236861923994,0.09590858099195691,0.007142857142857143,-0.0001446699116234502,93.8028
13,ISU-ILCC_G33C2.pkl,1500,1523,0.015333333333333332,unseen,0.18647229752604166,0.16855446243536604,0.007142857142857143,-0.0001279845363619686,94.9744
14,ISU-ILCC_G55C3.pkl,738,757,0.025745257452574527,unseen,0.06693828816400957,0.050075225467253556,0.007142857142857143,-0.00012045044783397154,96.0771
15,ISU-ILCC_G8C1.pkl,560,565,0.008928571428571428,unseen,0.21034248995099747,0.20001190142336148,0.007142857142857143,-7.378991805454292e-05,96.7526
16,ISU-ILCC_G41C2.pkl,735,724,-0.014965986394557823,unseen,0.07224178375451742,0.06438521495840167,0.007142857142857143,-5.611834854368397e-05,97.2663
17,ISU-ILCC_G59C4.pkl,2512,2528,0.006369426751592357,unseen,0.20386205316045483,0.196267989532857,0.007142857142857143,-5.4243311625698786e-05,97.7629
18,ISU-ILCC_G60C3.pkl,408,401,-0.01715686274509804,unseen,0.06951747984044693,0.0758790376049622,0.007142857142857143,4.543969831796629e-05,98.1788
19,ISU-ILCC_G56C1.pkl,1219,1210,-0.007383100902378999,unseen,0.22563572055732156,0.21987598624741736,0.007142857142857143,-4.1140959356458704e-05,98.5555
20,ISU-ILCC_G3C4.pkl,533,530,-0.005628517823639775,unseen,0.0795694139205045,0.0847347284281029,0.007142857142857143,3.6895103625702764e-05,98.8932
21,ISU-ILCC_G2C3.pkl,957,954,-0.003134796238244514,unseen,0.6270732065996032,0.6321394745448851,0.007142857142857143,3.618762818058428e-05,99.2245
22,ISU-ILCC_G2C2.pkl,743,741,-0.0026917900403768506,unseen,0.7683678632405051,0.7731191935056617,0.007142857142857143,3.393807332254671e-05,99.5352
23,ISU-ILCC_G58C4.pkl,1220,1161,-0.04836065573770492,unseen,0.09160607259781633,0.08820950451439358,0.007142857142857143,-2.426120059587688e-05,99.7573
24,ISU-ILCC_G54C3.pkl,3107,3058,-0.015770840038622464,unseen,0.08969147414105247,0.09155715094117887,0.007142857142857143,1.332626285804576e-05,99.8793
25,ISU-ILCC_G41C1.pkl,694,739,0.06484149855907781,unseen,0.054483058082954346,0.05559137648400499,0.007142857142857143,7.916560007504614e-06,99.9517
26,ISU-ILCC_G33C3.pkl,2646,2656,0.003779289493575208,unseen,0.060125061081290156,0.06057708795386625,0.007142857142857143,3.2287633755435124e-06,99.9813
27,ISU-ILCC_G54C4.pkl,3005,2998,-0.002329450915141431,unseen,0.1094714067049709,0.10918523774964559,0.007142857142857143,-2.0440639666093347e-06,100.0
