subset,cell,life_label,split,n_cycles
MICH_EXP,MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C.pkl,1,val,573
MICH_EXP,MICH_08C_pouch_NMC_-5C_0-100_2-2C.pkl,1,train,573
MICH_EXP,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C.pkl,1,train,540
ISU-ILCC,ISU-ILCC_G40C3.pkl,16,train,8957
Tongji,Tongji1_CY25-1_1-#8.pkl,18,val,28
Tongji,Tongji1_CY25-1_1-#6.pkl,20,train,27
Tongji,Tongji1_CY25-1_1-#7.pkl,20,test,33
Tongji,Tongji1_CY25-1_1-#5.pkl,21,train,31
Tongji,Tongji1_CY25-1_1-#2.pkl,24,test,35
Tongji,Tongji1_CY25-1_1-#3.pkl,24,val,27
Tongji,Tongji1_CY25-1_1-#4.pkl,26,train,29
Tongji,Tongji1_CY25-1_1-#9.pkl,27,train,32
Tongji,Tongji1_CY25-1_1-#1.pkl,27,test,34
MICH_EXP,MICH_09H_pouch_NMC_45C_0-100_2-2C.pkl,99,test,175
MICH_EXP,MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C.pkl,107,train,103
MICH_EXP,MICH_07R_pouch_NMC_25C_0-100_2-2C.pkl,112,val,245
MICH_EXP,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C.pkl,115,train,182
Tongji,Tongji1_CY25-05_1-#1.pkl,120,test,145
Tongji,Tongji1_CY25-05_1-#16.pkl,124,train,161
Tongji,Tongji1_CY25-05_1-#19.pkl,127,test,153
Tongji,Tongji1_CY25-05_1-#12.pkl,127,train,155
Tongji,Tongji1_CY25-05_1-#11.pkl,130,val,157
XJTU,XJTU_3C_battery-11.pkl,130,train,130
MICH_EXP,MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C.pkl,131,val,177
ISU-ILCC,ISU-ILCC_G14C3.pkl,134,train,168
Tongji,Tongji1_CY25-05_1-#2.pkl,138,train,178
Tongji,Tongji1_CY25-05_1-#13.pkl,139,train,193
SNL,SNL_18650_NMC_15C_0-100_0.5-1C_b.pkl,143,val,513
SNL,SNL_18650_NMC_15C_0-100_0.5-2C_b.pkl,143,train,389
Tongji,Tongji1_CY25-05_1-#7.pkl,143,val,172
XJTU,XJTU_3C_battery-14.pkl,146,val,146
MATR,MATR_b2c1.pkl,147,train,169
SNL,SNL_18650_NMC_15C_0-100_0.5-1C_a.pkl,147,test,513
Tongji,Tongji1_CY25-05_1-#17.pkl,149,train,192
Tongji,Tongji1_CY25-05_1-#18.pkl,150,train,188
Tongji,Tongji1_CY25-05_1-#5.pkl,150,train,193
SNL,SNL_18650_NMC_15C_0-100_0.5-2C_a.pkl,152,train,389
Tongji,Tongji1_CY25-05_1-#6.pkl,155,test,182
UL-PUR,UL-PUR_N10-NA7_18650_NCA_23C_0-100_0.5-0.5C_g.pkl,159,train,164
Tongji,Tongji1_CY25-05_1-#4.pkl,160,train,193
Tongji,Tongji1_CY25-05_1-#14.pkl,161,train,192
XJTU,XJTU_3C_battery-10.pkl,163,train,163
Tongji,Tongji1_CY25-05_1-#15.pkl,166,train,191
XJTU,XJTU_3C_battery-15.pkl,167,train,167
ISU-ILCC,ISU-ILCC_G14C4.pkl,169,test,168
Tongji,Tongji1_CY25-05_1-#3.pkl,169,val,192
MICH_EXP,MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C.pkl,174,train,327
Tongji,Tongji1_CY25-05_1-#10.pkl,174,val,207
SNL,SNL_18650_NCA_25C_0-100_0.5-0.5C_b.pkl,180,train,916
Tongji,Tongji1_CY45-05_1-#17.pkl,183,train,528
ISU-ILCC,ISU-ILCC_G14C2.pkl,190,test,250
MICH,MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i.pkl,191,val,574
Tongji,Tongji2_CY25-05_1-#12.pkl,196,train,199
Tongji,Tongji1_CY25-025_1-#6.pkl,197,test,245
Tongji,Tongji1_CY25-025_1-#7.pkl,201,test,251
Tongji,Tongji1_CY45-05_1-#19.pkl,202,train,685
MICH_EXP,MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C.pkl,204,train,293
Tongji,Tongji1_CY45-05_1-#8.pkl,207,val,399
Tongji,Tongji1_CY45-05_1-#15.pkl,210,train,495
XJTU,XJTU_3C_battery-12.pkl,211,test,211
Tongji,Tongji1_CY25-025_1-#3.pkl,213,train,300
Tongji,Tongji1_CY25-025_1-#5.pkl,216,train,338
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b.pkl,218,train,1080
Tongji,Tongji1_CY45-05_1-#16.pkl,219,val,596
Tongji,Tongji1_CY45-05_1-#5.pkl,219,train,199
Tongji,Tongji2_CY25-05_1-#2.pkl,222,test,189
Tongji,Tongji1_CY45-05_1-#22.pkl,223,train,577
XJTU,XJTU_3C_battery-13.pkl,225,train,225
SNL,SNL_18650_NCA_15C_0-100_0.5-2C_a.pkl,226,train,916
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l.pkl,228,train,1081
Tongji,Tongji2_CY25-05_1-#15.pkl,228,train,300
ISU-ILCC,ISU-ILCC_G53C1.pkl,229,train,466
SNL,SNL_18650_NCA_35C_0-100_0.5-2C_b.pkl,229,val,786
Tongji,Tongji1_CY25-025_1-#4.pkl,229,val,331
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s.pkl,231,val,1088
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t.pkl,234,train,1083
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f.pkl,239,test,1075
Tongji,Tongji2_CY25-05_1-#8.pkl,240,val,338
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n.pkl,246,val,1082
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g.pkl,247,train,1082
Tongji,Tongji2_CY25-05_1-#16.pkl,247,val,336
ISU-ILCC,ISU-ILCC_G53C3.pkl,250,test,586
SNL,SNL_18650_NCA_15C_0-100_0.5-2C_b.pkl,250,test,784
Tongji,Tongji2_CY25-05_1-#10.pkl,251,val,199
ISU-ILCC,ISU-ILCC_G19C4.pkl,253,train,417
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c.pkl,255,train,1081
Tongji,Tongji1_CY45-05_1-#6.pkl,255,train,199
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d.pkl,257,test,1081
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e.pkl,259,train,1107
UL-PUR,UL-PUR_N15-NA10_18650_NCA_23C_0-100_0.5-0.5C_j.pkl,259,train,259
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j.pkl,262,val,1076
ISU-ILCC,ISU-ILCC_G53C2.pkl,262,train,520
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a.pkl,263,train,1086
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p.pkl,263,train,1080
SNL,SNL_18650_NCA_35C_0-100_0.5-2C_a.pkl,263,train,654
HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o.pkl,266,train,1082
MICH,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g.pkl,267,train,442
MICH_EXP,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C.pkl,268,train,439
MICH_EXP,MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C.pkl,269,test,379
XJTU,XJTU_3C_battery-8.pkl,269,val,269
MICH,MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j.pkl,272,test,442
MICH,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h.pkl,273,train,439
Tongji,Tongji1_CY25-025_1-#2.pkl,274,train,234
ISU-ILCC,ISU-ILCC_G14C1.pkl,276,train,420
Tongji,Tongji1_CY45-05_1-#21.pkl,276,train,637
MICH,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c.pkl,283,val,438
XJTU,XJTU_3C_battery-3.pkl,285,train,285
XJTU,XJTU_3C_battery-9.pkl,286,test,286
MICH,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b.pkl,289,val,433
XJTU,XJTU_3C_battery-2.pkl,291,train,291
MICH,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i.pkl,293,val,442
MICH,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e.pkl,294,train,442
SNL,SNL_18650_NCA_25C_0-100_0.5-0.5C_a.pkl,296,val,513
Tongji,Tongji1_CY45-05_1-#11.pkl,296,train,648
XJTU,XJTU_3C_battery-5.pkl,296,train,296
ISU-ILCC,ISU-ILCC_G36C4.pkl,297,train,427
MICH,MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d.pkl,298,val,492
XJTU,XJTU_3C_battery-1.pkl,298,test,298
MATR,MATR_b2c0.pkl,299,train,325
MICH,MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b.pkl,299,train,464
Tongji,Tongji1_CY45-05_1-#27.pkl,299,train,649
Tongji,Tongji1_CY25-025_1-#1.pkl,300,val,487
MICH,MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b.pkl,302,train,491
MICH,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f.pkl,304,train,442
ISU-ILCC,ISU-ILCC_G22C2.pkl,308,test,514
Tongji,Tongji2_CY25-05_1-#9.pkl,308,test,349
SNL,SNL_18650_NCA_25C_0-100_0.5-1C_b.pkl,310,val,522
ISU-ILCC,ISU-ILCC_G9C2.pkl,312,train,345
MICH,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a.pkl,313,train,492
MICH,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a.pkl,314,val,426
XJTU,XJTU_3C_battery-7.pkl,318,train,318
MICH,MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e.pkl,319,train,492
ISU-ILCC,ISU-ILCC_G60C2.pkl,320,train,2470
ISU-ILCC,ISU-ILCC_G63C2.pkl,320,val,2328
SNL,SNL_18650_NCA_25C_0-100_0.5-2C_b.pkl,320,train,786
